person_id,source_img,source_age,target_img,target_age,id_score,estimated_age,age_mae,estimated_gender,gender_match,preprocessing_fallback,runtime_sec,rank1_correct,top1_identity,id_score_target_aligned,status
25,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/025A18.JPG,18,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/025A28.JPG,28,0.3719245791435241,23,5,female,True,False,159.79569125175476,True,25,,Ghi đè bởi mẫu khác trong batch
27,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/027A30.JPG,30,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/027A41.JPG,41,0.6012263298034668,23,18,female,True,False,161.06473398208618,True,27,,Ghi đè bởi mẫu khác trong batch
28,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/028A28.JPG,28,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/028A34.JPG,34,0.5305389165878296,32,2,male,True,False,164.371479511261,True,28,,Ghi đè bởi mẫu khác trong batch
29,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/029A23.JPG,23,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/029A31.JPG,31,0.1944395005702972,29,2,male,True,False,160.4106945991516,True,29,,Ghi đè bởi mẫu khác trong batch
33,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/033A39.JPG,39,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/033A44.JPG,44,0.4849594831466675,45,1,male,True,False,162.531325340271,True,33,0.48521268367767334,OK (Authentic image)
39,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/039A35.JPG,35,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/039A45.JPG,45,0.4913032650947571,29,16,male,False,False,160.6723394393921,True,39,,Ghi đè bởi mẫu khác trong batch
41,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/041A19.JPG,19,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/041A24.JPG,24,0.5458129644393921,20,4,male,True,False,162.7965428829193,True,41,,Ghi đè bởi mẫu khác trong batch
45,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/045A19.JPG,19,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/045A32.JPG,32,0.008611362427473,32,0,female,False,False,165.4538056850433,False,65,0.014844775199890137,OK (Authentic image)
50,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/050A16.JPG,16,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/050A22.JPG,22,0.4061495065689087,22,0,male,True,False,161.09940791130066,True,50,,Ghi đè bởi mẫu khác trong batch
51,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/051A16.JPG,16,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/051A24.JPG,24,0.168096125125885,22,2,male,True,False,164.87866234779358,False,10,0.1714179515838623,OK (Authentic image)
57,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/057A17.JPG,17,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/057A25.JPG,25,0.507882833480835,20,5,male,True,False,160.01418590545654,True,57,,Ghi đè bởi mẫu khác trong batch
61,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/061A26.JPG,26,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/061A32.JPG,32,0.4273804426193237,21,11,female,True,False,160.85017108917236,True,61,0.42676568031311035,OK (Authentic image)
62,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/062A35.JPG,35,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/062A41.JPG,41,0.6516103744506836,31,10,female,True,False,160.24113941192627,True,62,0.6581264734268188,OK (Authentic image)
67,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/067A28.JPG,28,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/067A33.JPG,33,0.0228713527321815,20,13,female,True,False,164.69624185562134,False,30,0.0010815542191267014,OK (Authentic image)
71,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/071A27.JPG,27,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/071A42.JPG,42,0.5597720742225647,34,8,male,True,False,160.81617999076843,True,71,0.5637494325637817,OK (Authentic image)
71,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/071A35.JPG,35,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/071A45.JPG,45,0.5458033084869385,38,7,male,True,False,163.11982774734497,True,71,0.539603590965271,OK (Authentic image)
82,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/082A18.JPG,18,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/082A27.JPG,27,0.4501331448554992,24,3,male,True,False,158.8554310798645,True,82,0.4781036674976349,OK (Authentic image)
82,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/082A22.JPG,22,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/082A31.JPG,31,0.5607329607009888,28,3,male,True,False,162.44973230361938,True,82,0.5682270526885986,OK (Authentic image)
